online_order,book_table,rate,votes,cost,BTM,Banashankari,Banaswadi,Bannerghatta Road,Basavanagudi,Basaveshwara Nagar,Bellandur
1,0,3.4,12,5.010635294,0,1,0,0,0,0,0
1,0,3.6,15,4.605170186,0,0,0,0,1,0,0
1,0,3.5,10,5.298317367,0,0,0,0,1,0,0
1,0,3.8,25,5.703782475,0,1,0,0,0,0,0
1,0,3.8,61,5.703782475,0,1,0,0,0,0,0
1,0,3.7,23,5.703782475,0,0,0,0,0,0,0
1,0,3.8,25,5.857933154,0,0,0,0,1,0,0
1,0,3.7,40,5.298317367,0,0,0,0,0,0,0
1,0,3.3,4,4.605170186,0,0,0,0,1,0,0
1,0,3.4,8,5.010635294,0,0,0,0,1,0,0
1,0,3.5,32,5.703782475,0,0,0,0,0,0,0
1,0,3.3,10,5.298317367,0,0,0,0,1,0,0
1,0,3.4,6,5.703782475,0,0,0,0,1,0,0
1,0,3.8,53,5.521460918,0,0,0,0,0,0,0
1,0,3.7,67,6.551080335,0,0,0,0,0,0,0
1,0,2.9,23,5.521460918,0,0,0,0,0,0,0
1,0,3.4,19,5.298317367,0,1,0,0,0,0,0
1,0,3.6,24,5.703782475,0,1,0,0,0,0,0
1,0,4,232,5.991464547,0,0,0,0,0,0,0
1,0,3.9,221,6.551080335,0,0,0,0,0,0,0
1,1,4.1,1063,7.090076836,0,0,0,0,0,0,0
1,0,3.7,93,5.298317367,0,0,0,0,1,0,0
1,0,3.9,233,6.684611728,0,0,0,0,0,0,0
1,0,3.9,211,6.214608098,0,0,0,0,0,0,0
1,0,4,1778,5.298317367,0,0,0,0,0,0,0
1,0,3.6,218,6.684611728,0,0,0,0,0,0,0
1,0,3.7,514,6.396929655,0,0,0,0,1,0,0
1,1,4,866,6.802394763,0,0,0,0,0,0,0
1,0,3.2,96,5.991464547,0,0,0,0,0,0,0
1,0,3.5,80,5.521460918,0,1,0,0,0,0,0
1,0,4,73,5.703782475,0,0,0,0,1,0,0
1,0,3.9,84,5.991464547,0,0,0,0,0,0,0
1,0,3.5,88,5.857933154,0,1,0,0,0,0,0
1,0,3.5,179,6.396929655,0,1,0,0,0,0,0
1,0,3.8,61,4.605170186,0,0,0,0,1,0,0
1,0,3.7,128,6.109247583,0,0,0,0,0,0,0
1,0,3.8,339,5.991464547,0,0,0,0,0,0,0
1,0,4.1,449,4.605170186,0,0,0,0,1,0,0
1,0,4.1,210,5.010635294,0,0,0,0,0,0,0
1,0,3.7,57,5.298317367,0,0,0,0,1,0,0
1,0,3,213,5.991464547,0,1,0,0,0,0,0
1,0,3.2,208,5.521460918,0,0,0,0,0,0,0
1,0,3.8,70,4.605170186,0,1,0,0,0,0,0
1,0,4,219,6.396929655,0,0,0,0,1,0,0
1,0,3.7,59,5.298317367,0,1,0,0,0,0,0
1,0,3.1,10,6.214608098,0,1,0,0,0,0,0
1,0,3,9,5.991464547,0,0,0,0,0,0,0
1,0,3.7,124,6.620073207,0,0,0,0,0,0,0
1,0,3.7,19,4.605170186,0,0,0,0,0,0,0
1,0,3.700448818,0,5.703782475,0,0,0,0,0,0,0
1,0,3.3,4,5.010635294,0,0,0,0,1,0,0
1,0,3.3,4,5.010635294,0,0,0,0,0,0,0
1,0,3.8,21,5.298317367,0,0,0,0,1,0,0
1,0,3.4,8,5.521460918,0,1,0,0,0,0,0
1,0,3.5,10,5.991464547,0,0,0,0,0,0,0
1,0,3.700448818,0,5.991464547,0,1,0,0,0,0,0
1,0,3.5,10,5.991464547,0,0,0,0,0,0,0
1,0,3.2,4,5.298317367,0,0,0,0,0,0,0
1,0,3.1,4,5.857933154,0,1,0,0,0,0,0
1,0,3.700448818,0,5.703782475,0,0,0,0,0,0,0
1,0,3.6,16,6.214608098,0,0,0,0,0,0,0
1,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
1,0,3.700448818,0,5.703782475,0,0,0,0,0,0,0
1,0,3.3,4,4.605170186,0,0,0,0,0,0,0
1,0,3.4,12,5.703782475,0,0,0,0,0,0,0
1,0,3.700448818,0,5.010635294,0,0,0,0,0,0,0
1,0,3.9,14,6.396929655,0,0,0,0,0,0,0
1,0,3.7,0,5.703782475,0,0,0,0,0,0,0
1,0,2.8,5,5.293304825,0,0,0,0,0,0,0
1,0,3.3,5,6.684611728,0,0,0,0,1,0,0
1,0,3.5,15,5.521460918,0,1,0,0,0,0,0
1,0,3.4,4,6.214608098,0,0,0,0,1,0,0
1,0,3.700448818,0,5.521460918,0,0,0,0,0,0,0
1,0,3.6,17,5.703782475,0,0,0,0,1,0,0
1,0,3.3,6,6.214608098,0,1,0,0,0,0,0
1,0,3.4,10,4.605170186,0,1,0,0,0,0,0
1,1,4.1,775,6.684611728,0,1,0,0,0,0,0
1,1,4.2,2022,6.907755279,0,0,0,0,0,0,0
1,0,3.700448818,0,4.605170186,0,0,0,0,1,0,0
1,1,4.2,150,6.396929655,0,1,0,0,0,0,0
1,0,4,232,6.620073207,0,0,0,0,1,0,0
1,0,3.9,38,5.298317367,0,0,0,0,1,0,0
1,1,3.5,431,6.684611728,0,0,0,0,0,0,0
1,1,4.2,2115,6.684611728,0,1,0,0,0,0,0
1,0,3.4,30,5.298317367,0,0,0,0,0,0,0
1,0,4.2,150,6.684611728,0,0,0,0,0,0,0
1,0,3.3,12,5.298317367,0,0,0,0,0,0,0
